Card Name,Quantity,Set Code,Number
Thaumatog,2,ODY,295
Elvish Scrapper,4,8ED,245
Penumbra Kavu,1,APC,83
Plaxcaster Frogling,1,MM2,184
Resolute Blademaster,12,BFZ,218
Abzan Battle Priest,2,KTK,1
Heartfire Hero,1,BLB,138
Lesser Masticore,5,MH1,225
Nessian Game Warden,4,JOU,132
"Raff, Weatherlight Stalwart",1,MUL,186
Raging Regisaur,1,RIX,168
Rashka the Slayer,1,HML,12
Turn the Earth,1,MID,205
Wash Out,1,2X2,67
Drake-Skull Cameo,1,INV,302
Orim's Prayer,1,TMP,32
Elite Guardmage,1,WAR,195
Skymark Roc,4,GK2,20
Aether Charge,2,ONS,184
Banewhip Punisher,1,HOU,59
Dying Wish,1,GTC,64
Faceless Devourer,1,TSR,115
Faith of the Devoted,2,C19,112
Fascination,1,FRF,34
Glimpse the Core,2,LCI,186
Goblin Scouts,1,MIR,178
Goblinslide,1,KTK,109
Heir of Falkenrath // Heir to the Night,2,SOI,116
Ordeal of Thassa,2,THS,58
Overwhelmed Apprentice,2,ELD,60
Overwhelming Instinct,2,ONS,276
Pathway Arrows,10,BFZ,225
Plumeveil,1,UMA,218
Prismatic Lens,1,EMA,230
Reclamation Sage,1,M15,194
Refreshing Rain,1,NEM,110
Retreat to Kazandu,2,BFZ,186
Scour for Scrap,1,EOE,73
Sixth Sense,2,AKH,187
Soltari Crusader,1,TMP,41
Thornscape Battlemage,5,PLS,94
Voice of All,1,PLS,19
Circuit Mender,1,NEO,242
Dreams of Steel and Oil,1,BRO,92
Fathom Fleet Swordjack,1,CMR,177
Glacial Wall,1,ICE,71
Gretchen Titchwillow,1,AFR,223
Lashknife Barrier,2,PLS,9
"Radha, Coalition Warlord",2,MUL,185
Rise of the Witch-king,1,LTR,221
Ruthless Knave,4,XLN,119
Tigereye Cameo,1,INV,314
Titan's Presence,2,BFZ,14
Voidwalk,1,GTC,55
Wolfhunter's Quiver,1,DKA,154
Become Immense,1,KTK,130
Bile Blight,1,BNG,61
Centaur Chieftain,2,TOR,122
Creeping Dread,1,SOI,104
Cyclops of Eternal Fury,1,JOU,92
Foundry Inspector,4,KLD,215
Heat of Battle,1,STH,88
Hold the Gates,3,GTC,16
Indrik Stomphowler,1,C15,186
Jolly Gerbils,1,BLB,19
Kird Chieftain,1,M15,151
Maverick Thopterist,1,C18,185
Needletooth Raptor,2,RIX,107
Prismatic Lens,1,C18,215
Stoneshock Giant,2,CM2,120
Stormchaser Drake,1,VOW,82
Visions of Brutality,4,OGW,81
Wall of Mulch,1,M15,208
Wizard's Retort,4,DOM,75
Ashenmoor Gouger,3,MM2,190
Boros Keyrune,2,GTC,227
Eaten by Piranhas,1,LCI,54
Extra Arms,2,SCG,92
Flow of Knowledge,1,BRO,49
Ghostly Touch,4,AVR,58
Oak Street Innkeeper,3,RTR,131
Obsessive Stitcher,1,AFC,189
Ordeal of Nylea,2,THS,170
Salvager of Ruin,1,M20,237
Sylvan Messenger,2,ORI,199
Torrent of Souls,1,ARC,96
Verduran Emissary,3,INV,221
Volcanic Torrent,1,CLB,813
Abzan Falconer,1,IMA,3
Balduvian Berserker,1,DMU,116
Bloodthirsty Aerialist,1,M20,91
Castle,1,6ED,6
Charging Tuskodon,2,RIX,97
Embereth Shieldbreaker // Battle Display,3,ELD,122
Fabrication Module,1,KLD,211
Femeref Archers,1,7ED,244
"Grunn, the Lonely King",6,DOM,165
Khenra Charioteer,1,AKH,201
Minister of Inquiries,5,KLD,57
Peregrin Took,3,LTR,181
Promise of Bunrei,1,A25,30
Rot Farm Skeleton,1,DGM,98
Scholar of the Ages,1,M20,74
Scytheclaw Raptor,1,LCI,323
Silumgar's Scorn,2,DTK,78
Slithery Stalker,4,TOR,84
Spellheart Chimera,1,DDS,25
Stasis Snare,1,BFZ,50
"Vega, the Watcher",1,KHM,332
Vigilante Justice,1,C20,164
Wall of Essence,2,M15,41
Wight of Precinct Six,2,GTC,84
Aven Wind Guide,2,AKH,195
Blizzard Specter,2,IMA,194
Boneyard Lurker,1,IKO,298
Broodhatch Nantuko,1,A25,162
Builder's Blessing,4,AVR,8
Cloudform,1,C18,83
Creeping Trailblazer,1,M20,207
Curious Homunculus // Voracious Reader,2,EMN,54
Death Mutation,2,APC,96
Dragonrage,3,FRF,97
Embalmer's Tools,3,AKH,227
Exclusion Mage,1,M19,55
Farmstead Gleaner,5,MH1,222
Goldnight Commander,2,AVR,22
Grovetender Druids,7,BFZ,212
Icefeather Aven,1,C19,194
Insatiable Hemophage,1,IKO,290
Iridescent Hornbeetle,1,ZNR,187
Kitesail Freebooter,1,XLN,110
Lava-Field Overlord,1,BBD,60
Lingering Tormentor,1,EVE,36
Ovalchase Daredevil,2,KLD,97
Passageway Seer,1,CLB,141
Phyrexian Ingester,1,CMM,111
Primal Empathy,1,NCC,348
Retreat to Emeria,3,BFZ,44
River Sneak,2,XLN,70
Rooting Kavu,2,INV,207
Seal of Cleansing,1,MH2,264
Serra Inquisitors,1,HML,16
Shefet Monitor,5,AKH,186
Tidings,1,C18,108
Untamed Wilds,1,7ED,279
Warrior en-Kor,1,STH,23
Abyssal Specter,1,7ED,116
Ambition's Cost,2,CLB,110
Animating Faerie // Bring to Life,1,ELD,280
Blanchwood Armor,2,8ED,234
Blood-Chin Rager,2,DTK,89
Blood-Cursed Knight,3,ORI,211
Breaker of Armies,1,BFZ,3
Bred for the Hunt,1,DGM,59
Cacophodon,2,RIX,123
Cephalid Broker,1,IMA,44
Consign // Oblivion,1,HOU,149
Destructor Dragon,2,FRF,127
Draconic Disciple,5,M19,215
Dusk Mangler,1,SNC,77
Emissary of Sunrise,1,XLN,10
Fungal Plots,1,DOM,160
Fyndhorn Elder,1,5ED,297
Gaea's Balance,1,APC,77
Gibbering Fiend,1,SOI,161
Glacial Revelation,1,MH1,167
Goblin Banneret,1,GRN,102
Goblin Glider,1,7ED,189
Hop to It,1,BLB,16
Hornswoggle,1,RIX,39
"Lagomos, Hand of Hatred",1,DMU,205
Militia Bugler,2,M19,29
Miming Slime,7,GTC,126
Mindless Automaton,1,MOC,365
Moonlight Hunt,2,SOI,219
Moss Diamond,1,7ED,309
Out of Bounds,1,BBD,38
Rakdos Headliner,1,MH2,210
Replication Specialist,1,NEO,76
Rhystic Scrying,1,PCY,44
Scavenger Drake,1,MM2,93
Silumgar Spell-Eater,5,DTK,77
Skyshroud Condor,1,TMP,88
Snapping Sailback,3,XLN,208
Stormwing Dragon,5,DTK,159
Sultai Charm,1,PKTK,204
Surprise Deployment,1,PLS,18
Urban Evolution,1,MM3,198
Volcanic Geyser,1,MIR,202
You See a Pair of Goblins,1,AFR,170
Arni Slays the Troll,2,KHM,201
Arvad the Cursed,1,DOM,191
Captain's Maneuver,1,APC,92
Commander's Authority,1,AVR,13
Consulate Surveillance,7,KLD,10
Dauntless Bodyguard,1,DOM,14
Dread Fugue,1,DBL,374
Dual Strike,1,KHM,132
Eclipsed Elf,1,ECL,218
Fireglass Mentor,1,BLB,213
Gates Ablaze,2,RNA,102
Glimpse the Sun God,1,BNG,13
Gridlock,2,GTC,36
Guardian of the Gateless,1,GTC,14
Hapatra's Mark,1,AKH,169
Herald of Faith,9,M19,13
Honored Crop-Captain,1,AKH,200
Ingenuity Engine,1,CMR,317
Iron-Shield Elf,1,ECL,108
Jubilant Skybonder,1,IKO,223
Keeper of Fables,1,ZNC,71
Mad Ratter,1,ELD,130
Noose Constrictor,3,EMN,164
Primoc Escapee,2,LGN,49
"Raphael, Most Attitude",1,TMT,199
Relic Vial,1,ZNR,250
Reviving Vapors,1,INV,265
Rise from the Tides,1,SOI,83
Samite Archer,2,INV,269
Searing Rays,4,INV,165
Seize the Storm,2,MID,158
Slaughter the Strong,1,CLB,43
Slice and Dice,1,C20,159
Thallid Soothsayer,6,DOM,107
Vanguard of Brimaz,1,BNG,29
"Vega, the Watcher",1,KHM,233
Web,2,9ED,281
"Whisper, Blood Liturgist",1,DOM,111
Winds of Qal Sisma,1,FRF,147
Yavimaya Kavu,3,INV,291
Zendikar Incarnate,3,ORI,219
Abzan Falconer,3,KTK,2
Act of Treason,2,M10,124
Addle,1,INV,91
Aethertorch Renegade,8,KLD,106
Akoum Refuge,1,C19,226
Amaranthine Wall,1,DOM,210
Ambuscade Shaman,1,DTK,87
Ancient Craving,1,A25,79
Ancient Silverback,2,M15,168
Anurid Scavenger,1,TOR,119
"Baird, Steward of Argive",1,DOM,4
Baron Bertram Graywater,1,OTJ,195
Battlefield Percher,1,NEM,52
Behind the Scenes,1,SOI,100
Bloodboil Sorcerer,2,CLB,164
Bond of Discipline,1,WAR,6
Brineborn Cutthroat,1,M20,50
Carrion Ants,1,5ED,150
Catacomb Sifter,5,BFZ,201
Collision // Colossus,2,RNA,223
Compelling Deterrence,1,DDQ,42
Conquer,1,5ED,216
Dawning Purist,2,ONS,22
Doomskar Titan,2,KHM,130
Erdwal Illuminator,2,J22,291
Feral Incarnation,2,M15,174
Geist of the Archives,2,EMN,62
Glassdust Hulk,2,2XM,199
Goham Djinn,2,INV,107
Graveshifter,1,PLST,MOC-251
"Halsin, Emerald Archdruid",2,CLB,234
Heroes' Bane,1,IMA,166
Human Frailty,1,AVR,109
Hunting Pack,2,SCG,121
Kjeldoran Frostbeast,1,ICE,296
Lunar Force,3,EMN,68
Lyev Skyknight,3,RTR,179
Mana Cylix,1,PLS,132
Martial Impetus,1,C21,96
Meteor Golem,1,CMM,399
Neutralize,1,IKO,59
Neutralizing Blast,2,FRF,44
Packsong Pup,1,VOW,213
Pale Rider of Trostad,1,SOI,128
Prized Unicorn,1,M11,193
Reverse Engineer,2,AER,42
Roaring Earth,1,NEO,204
Shrapnel Blast,1,M15,161
Skirk Drill Sergeant,2,LGN,112
Sleep,2,M19,74
Soul Tithe,4,RTR,23
Splendor Mare,3,IKO,32
Storm Fleet Sprinter,1,RIX,172
The Weatherseed Treaty,3,DMU,188
Tomebound Lich,1,M20,219
Trial of Ambition,2,AKH,113
Underhanded Designs,2,KLD,104
Vanish into Memory,1,AFC,196
Virulent Silencer,1,EOE,248
Void Shatter,1,OGW,49
Vow of Torment,1,CMR,159
Archipelagore,1,IKO,283
Assault // Battery,1,INV,295
Basilica Bell-Haunt,3,RNA,156
Bellowing Aegisaur,3,XLN,4
Brawler's Plate,3,ORI,224
Cartel Aristocrat,1,GTC,150
Clash of Wills,1,ORI,49
Defiant Greatmaw,4,AKH,163
Devoted Crop-Mate,3,AKH,10
District Guide,1,GRN,128
Donatello's Technique,1,TMT,39
First Sliver's Chosen,1,MH1,9
Fortune's Favor,1,EMN,61
Galloping Lizrog,2,RNA,175
Get Out,1,DSK,60
Gruul War Chant,2,DGM,75
"Harald, King of Skemfar",1,KHM,212
Havoc Demon,3,EMA,90
Hollowhead Sliver,1,MH1,132
Hope Tender,2,HOU,119
"Kazuul, Tyrant of the Cliffs",2,CMM,237
Keepsake Gorgon,7,THS,93
Kessig Malcontents,1,AVR,142
Knight of Obligation,4,GTC,18
Knockout Blow,1,SNC,20
Kor Duelist,2,MM2,22
Leafkin Avenger,1,M21,220
Lightning Dart,1,INV,152
"Maja, Bretagard Protector",1,KHM,222
Majestic Heliopterus,1,RIX,13
Manic Scribe,1,SOI,73
Mistfire Adept,1,2X2,59
Mistform Mutant,6,ONS,95
Mogis's Marauder,3,THS,97
Nightscape Battlemage,2,PLS,47
Nissa's Triumph,3,WAR,170
Olivia's Bloodsworn,4,SOI,127
Open into Wonder,5,AKH,64
Overgrowth Elemental,1,M20,187
Path to the World Tree,1,DMC,136
Phantom General,1,RTR,16
Phantom Monster,1,5ED,108
Primal Empathy,2,C21,227
Protect the Negotiators,1,DMU,62
Raised by Wolves,1,BNG,135
Raptor Hatchling,1,XLN,155
Repair and Recharge,1,BRO,24
Rhystic Syphon,1,PCY,76
Roc Charger,1,CLU,70
Rotwidow Pack,3,MH1,212
Savage Stomp,1,XLN,205
Saving Grace,1,HOU,21
"Svella, Ice Shaper",1,KHM,331
Switcheroo,1,BBD,133
Sword Dancer,1,PCY,25
Triton Fortune Hunter,3,THS,69
Turn to Frog,1,ORI,81
Vastwood Surge,1,ZNR,217
Walk the Plank,1,XLN,130
Wall of Bone,1,7ED,169
Wall of Swords,1,5ED,67
Wayfaring Giant,4,INV,44
Youthful Scholar,1,DTK,84
"Zada, Hedron Grinder",2,A25,156
Advanced Stitchwing,2,GNT,18
Banishing Stroke,2,AVR,7
Battlefront Krushok,2,FRF,125
Befoul,1,7ED,118
Benalish Emissary,1,INV,5
Bloodfire Kavu,2,APC,58
Call the Bloodline,1,SOI,103
Chronomaton,2,DDM,2
Cleanup Crew,1,SNC,141
Combine Guildmage,1,RNA,163
Covetous Urge,1,ELD,207
Crawling Infestation,1,VOW,193
Cult of the Waxing Moon,2,SOI,201
Dagger Caster,5,RNA,97
Death Pulse,2,ONS,137
Deathmark,1,M10,90
Dinosaur Stampede,4,XLN,140
Drover of the Mighty,2,JMP,388
Elspeth's Nightmare,1,THB,91
Embodiment of Insight,1,OGW,131
Extruder,1,MH2,296
Furnace Reins,2,MOM,141
Glacier Godmaw,1,EOE,188
Glint-Nest Crane,1,KLD,50
"Glorfindel, Dauntless Rescuer",1,LTR,171
Go-Shintai of Hidden Cruelty,2,NEO,97
Goblin Rally,4,RTR,95
Grave Consequences,8,JUD,67
Hard Cover,1,M20,63
Havoc Jester,1,M21,149
Infectious Rage,8,JUD,92
Juggernaut,7,EMA,224
Junktroller,3,RNA,235
Latch Seeker,1,AVR,63
Lure,3,IMA,175
Malevolent Whispers,1,C19,150
Meteor Golem,3,M19,241
Mistfire Weaver,5,KTK,46
Morbid Curiosity,3,KLD,94
"Narfi, Betrayer King",1,KHM,329
Nemesis of Mortals,3,THS,163
Parasitic Impetus,1,C20,46
Phantasmal Mount,1,ICE,88
Phyrexian Ingester,1,EMA,66
Phyrexian Splicer,1,TMP,303
Plague Mare,1,M19,114
Pride of the Perfect,1,CMR,144
Qarsi Deceiver,3,DTK,71
Rapacious Dragon,1,M20,153
Rescue from the Underworld,4,THS,102
Ringsight,2,LTR,220
Rith's Attendant,3,INV,310
Riverwise Augur,1,RIX,48
Savage Stomp,1,JMP,427
Sculpted Perfection,2,MOM,253
Seasoned Hallowblade,1,M21,34
Servant of the Stinger,1,OTJ,105
Shatter Assumptions,4,MH1,106
Shatterskull Minotaur,1,ZNR,160
Shower of Coals,8,ODY,221
Sigil of Valor,3,ORI,239
Skemfar Shadowsage,3,KHM,110
Skyrider Elf,8,BFZ,220
Spirit of the Aldergard,2,KHM,195
Spoils of Adventure,2,PLST,ZNR-237
Start Your Engines,9,KLD,135
Stormscape Battlemage,3,PLS,35
Suspicious Bookcase,2,M19,246
Taj-Nar Swordsmith,1,MM2,36
Thunderous Might,1,BNG,114
Tournament Grounds,1,ELD,248
Triumph of Ferocity,3,AVR,198
Tuya Bearclaw,2,CMR,292
Unstable Obelisk,1,C18,227
Vampiric Rites,1,WOT,37
Whirler Rogue,1,ZNC,39
Zanam Djinn,2,INV,90
Anchor to Reality,1,NEO,45
Angel's Feather,2,9ED,287
Aphetto Exterminator,6,LGN,59
Archangel,1,AVR,5
Auspicious Starrix,1,IKO,144
Autumnal Gloom // Ancient of the Equinox,1,SOI,194
Aven Sunstriker,1,DTK,5
Basalt Ravager,6,KHM,122
Battle Mastery,1,M15,4
Boon of Boseiju,1,NEO,176
Boon of the Wish-Giver,2,IKO,43
Botanical Brawler,3,MOM,220
Branchsnap Lorian,4,LGN,118
Brawler's Plate,2,M15,213
Brindle Shoat,1,JMP,380
Burning-Fist Minotaur,1,HOU,85
Chart a Course,3,XLN,48
Congregate,1,M15,6
Creative Outburst,2,STX,171
Crowned Ceratok,1,GTC,117
Deeproot Waters,3,XLN,51
Disorder,1,7ED,179
Dream Beavers,2,TMT,62
Duskfang Mentor,1,IKO,86
Elspeth's Smite,1,MOM,13
Enlarge,1,2XM,166
Enormous Baloth,1,10E,263
Extract from Darkness,1,2X2,210
Falkenrath Noble,1,J25,441
Fearsome Awakening,2,FRF,69
Feaster of Fools,3,MH1,90
Flamewave Invoker,2,BBD,178
Flinthoof Boar,2,M13,171
Ghost-Lit Nourisher,1,SOK,131
Gift of Orzhova,5,GTC,219
Go-Shintai of Lost Wisdom,1,NEO,55
Goblin Glider,2,8ED,189
Gyre Engineer,6,RNA,180
Haunted Cloak,1,SOI,257
"Heiko Yamazaki, the General",1,NEO,146
Hellraiser Goblin,2,GTC,95
Incendiary Flow,1,EMN,133
Invert // Invent,2,GRN,228
"Itzquinth, Firstborn of Gishath",1,LCI,230
Karok Wrangler,1,STX,135
Knightly Valor,8,M19,20
"Kongming, ""Sleeping Dragon""",1,A25,20
Lava Hounds,1,WTH,109
Lightning-Rig Crew,1,CMR,190
Maverick Thopterist,1,PLST,C18-185
Mental Vapors,2,GTC,72
Mischievous Poltergeist,1,6ED,144
Neglected Heirloom // Ashmouth Blade,1,SOI,260
Patagia Viper,1,DIS,89
Phyrexian Awakening,2,MOM,30
Pitchstone Wall,2,TOR,110
Proud Wildbonder,1,IKO,229
Quicksmith Genius,2,KLD,125
Riptide Chimera,1,JOU,48
Rust Scarab,1,GTC,130
Sapphire Drake,1,GTC,47
Scion of Ugin,1,PLST,DTK-1
Servo Exhibition,4,KLD,27
Sever Soul,2,8ED,162
Shadows of the Past,1,ORI,118
Sin Collector,1,DGM,103
Siren of the Silent Song,1,BNG,155
Slagstone Refinery,1,BRO,243
Slippery Scoundrel,2,RIX,55
Soulblade Corrupter,2,BBD,17
Spectral Steel,2,KHM,30
Spellgyre,1,BLB,72
Spurnmage Advocate,2,JUD,27
Start // Finish,1,AKH,215
Staunch Defenders,1,TMP,49
Stocking the Pantry,1,BLB,194
Sunset Pyramid,1,CMR,345
Tajuru Warcaller,11,BFZ,195
Teleportal,4,RTR,202
Tempting Licid,1,STH,122
Thirst for Knowledge,1,C18,106
Traitorous Greed,1,M21,166
Twinferno,1,DMU,149
Unlicensed Disintegration,2,2XM,224
Unnatural Moonrise,2,MID,247
Urza's Tome,2,DOM,235
Vampires' Vengeance,1,VOW,180
Vengeful Warchief,1,M20,121
Warden of the Woods,2,M21,213
"Abdel Adrian, Gorion's Ward",1,CLB,375
Air Elemental,1,M19,308
Alloy Golem,4,INV,297
Alpine Guide,1,MH1,117
Aven Archer,2,ODY,6
Bant Charm,1,NCC,330
Bartolome del Presidio,1,LCI,224
Biogenic Upgrade,2,RNA,123
Bladewing's Thrall,2,IMA,81
Blanchwood Armor,3,M19,169
Blessed Spirits,4,ORI,7
Bloodrage Brawler,3,AKH,121
Body Double,1,2X2,40
Bolt Hound,3,M21,131
Bounding Krasis,4,ORI,212
Break Through the Line,2,FRF,94
Bring Down,1,BBD,26
Burnished Hart,5,THS,213
Chaos Channeler,3,AFR,136
Convulsing Licid,2,STH,77
Departed Deckhand,6,M19,49
Destined // Lead,5,AKH,217
Dismantling Blow,5,MH1,5
Dissolve,4,THS,47
Dormant Grove // Gnarled Grovestrider,1,VOW,198
Draconic Roar,1,DTK,134
Dragon Cultist,1,CLB,170
Dragonspark Reactor,1,NEO,137
Dryad's Revival,2,MID,183
Era of Innovation,6,KLD,45
Extricator of Sin // Extricator of Flesh,2,EMN,23
Famished Paladin,1,RIX,8
Fireblade Charger,2,ZNR,139
Flood of Recollection,2,RIX,38
Frost Augur,2,KHM,56
Fugue,1,7ED,137
Gang Up,2,BBD,47
Glittering Stockpile,1,SNC,107
Grasping Shadows // Shadows' Lair,3,LCI,108
Grenzo's Ruffians,1,CN2,55
Guard Dogs,1,PLS,5
Hunting Pack,1,C20,179
Illusory Ambusher,2,C20,113
Invigorating Boon,8,ONS,267
Iona's Blessing,3,OGW,21
Ixalli's Lorekeeper,1,LCI,194
Jungle Barrier,1,IMA,202
Kamahl's Summons,4,ONS,269
Long-Finned Skywhale,5,KLD,54
Lucid Dreams,1,MH2,50
Lupinflower Village,1,BLB,256
Lurking Chupacabra,4,XLN,111
Mana Prism,1,6ED,297
Mausoleum Guard,1,J22,213
Mockery of Nature,1,EMN,10
"Nadier, Agent of the Duskenel",1,CMR,135
Nivix Guildmage,1,GK1,42
Novijen Sages,1,MM2,53
On Serra's Wings,1,DOM,28
Pelakka Wurm,1,MM2,154
Pennon Blade,1,ROE,221
Perilous Voyage,1,XLN,67
Prodigal Pyromancer,1,IMA,142
Pulse of Murasa,1,M20,189
Rage Weaver,1,INV,159
Raging Swordtooth,2,XLN,226
Razaketh's Rite,2,HOU,74
Regal Bloodlord,5,M19,222
"Renata, Called to the Hunt",1,MUL,28
Roar of Challenge,4,KTK,145
Rosie Cotton of South Lane,2,LTR,440
Rot Shambler,4,BFZ,187
Sandstone Oracle,1,IMA,227
Sawtooth Loon,1,PLS,123
Shake the Foundations,2,RIX,113
Skinrender,1,2X2,91
Sky Weaver,1,INV,74
Slum Reaper,6,RTR,77
Sonorous Howlbonder,2,IKO,230
Sorcerer's Wand,1,DOM,231
Strength of the Pack,1,RIX,145
Subjugator Angel,1,EMN,45
Swallow Whole,3,IKO,35
Swarm of Bloodflies,7,KTK,92
"Syr Faren, the Hengehammer",2,ELD,177
"Teyo, the Shieldmage",1,WAR,32
The Trickster-God's Heist,1,KHM,232
Thought Distortion,1,M20,117
Time to Reflect,5,AKH,33
Tolarian Emissary,2,INV,81
Trygon Predator,2,C20,232
Verdant Rebirth,2,XLN,212
Village Watch // Village Reavers,1,MID,297
Visage Bandit,1,OTJ,76
Vizkopa Confessor,3,GTC,205
Wee Dragonauts,3,EMA,212
Wispweaver Angel,1,J22,266
Abzan Charm,1,KTK,161
Acid-Spewer Dragon,3,DTK,86
Aerial Engineer,7,M19,211
Allied Strategies,1,PLS,20
Angel of Mercy,1,INV,2
Angelic Armaments,1,CMR,296
Aven Gagglemaster,1,M21,5
Back for More,3,IKO,177
Bad Deal,1,M21,89
Banisher Priest,1,DDO,2
Banishment,1,CLB,8
Barrier Breach,1,IKO,145
Blitz of the Thunder-Raptor,1,IKO,109
Bonded Horncrest,4,XLN,133
Bookwurm,1,STX,123
Brightmare,1,J22,159
Carnival // Carnage,2,RNA,222
Carven Caryatid,1,IMA,156
Cerulean Sphinx,1,RVR,36
Channeled Force,4,IKO,180
Charging Monstrosaur,4,XLN,138
Chief of the Edge,2,KTK,169
Cloudkill,1,CLB,121
Conclave Guildmage,2,GRN,162
Crawling Sensation,1,SOI,199
Crusader of Odric,4,M13,10
Crush Contraband,1,GRN,7
Crystal Rod,1,5ED,361
Declare Dominance,7,M19,175
Distracting Geist // Clever Distraction,4,VOW,9
Dose of Dawnglow,1,ECL,100
Drover of the Mighty,2,XLN,187
Dungeoneer's Pack,1,CLB,312
Emmessi Tome,1,EMA,221
Enduring Scalelord,5,DTK,222
Eumidian Terrabotanist,1,EOE,180
Evangel of Heliod,3,THS,11
Extract from Darkness,2,EMA,200
Fairgrounds Warden,2,KLD,13
Falkenrath Exterminator,1,AVR,134
Ferocity of the Wilds,2,ELD,123
Fireblade Artist,2,RNA,172
Firemind Vessel,1,2X2,306
Fleeting Memories,1,SOI,62
Gallows Warden,1,J22,187
Gateway Shade,4,GTC,65
Geistblast,2,SOI,160
Ghitu Slinger,5,EMA,133
"Gimli, Counter of Kills",1,LTR,312
Gnoll War Band,2,CLB,178
Gremlin Tamer,2,DSK,215
Ground Assault,1,ZNC,91
Heir of the Wilds,2,KTK,134
Hope Against Hope,2,SOI,22
Imperial Lancer,3,XLN,15
Interpret the Signs,2,CMR,75
Inventor's Apprentice,4,KLD,120
Jeskai Charm,3,2X2,232
Kavu Predator,2,A25,176
Keeper of Fables,3,ELD,163
Lithoform Blight,2,ZNR,109
Littjara Glade-Warden,2,KHM,182
Lodestone Needle // Guidestone Compass,2,LCI,62
Lys Alana Scarblade,2,EMA,95
Malakir Cullblade,1,ORI,108
Maraleaf Pixie,2,ELD,196
Master the Way,4,KTK,188
Merfolk Looter,1,EMA,61
Ministrant of Obligation,1,RVR,23
Nature's Way,5,KLD,162
Navigator's Ruin,3,XLN,63
Nuisance Engine,1,HOP,121
Oracle's Insight,1,BNG,47
Orc Sureshot,2,FRF,78
Order of Midnight // Alter Fate,1,ELD,99
Outrage Shaman,1,EVE,59
Path to the World Tree,2,KHM,186
Prized Elephant,2,M13,27
"Queza, Augur of Agonies",1,SNC,326
Ride Down,3,KTK,194
Roaring Primadox,1,M15,196
Rolling Thunder,3,BFZ,154
Rosie Cotton of South Lane,2,LTR,27
Ruination Guide,2,BFZ,64
Rune of Flight,1,KHM,75
Sage of Lat-Nam,3,DOM,64
